ch1voltsWL2,ch5voltsWL2
0.00076692,-0.0070809
0.00070711,-0.0066308
0.00050613,-0.0062436
0.00026583,-0.0059305
0.00010784,-0.005726
6.0435e-05,-0.0056356
4.2799e-05,-0.0055998
-4.2781e-05,-0.0055371
-0.00020946,-0.0054126
-0.00037671,-0.0052474
-0.00045529,-0.0050578
-0.00043497,-0.0048111
-0.00038916,-0.0044632
-0.00039978,-0.004036
-0.00048129,-0.0036321
-0.00057527,-0.0033531
-0.00061348,-0.0031948
-0.00058352,-0.0030323
-0.00053409,-0.0027255
-0.0005201,-0.0022455
-0.00054595,-0.0016976
-0.0005636,-0.0012192
-0.00052533,-0.00085386
-0.00043501,-0.00052821
-0.00034319,-0.00015783
-0.00029226,0.00024785
-0.00027294,0.00061453
-0.0002403,0.00093092
-0.0001698,0.0013118
-8.7482e-05,0.001888
-3.8643e-05,0.0026232
-3.3e-05,0.0032852
-3.2123e-05,0.0036458
5.6719e-06,0.0037199
7.626e-05,0.0037874
0.00013491,0.00415
0.00014972,0.0048596
0.00014066,0.0056888
0.00015917,0.0063593
0.00023198,0.006794
0.00033125,0.0071582
0.00040196,0.0076775
0.0004153,0.0084276
0.00039391,0.0092803
0.00038759,0.010013
0.00042756,0.010473
0.00050193,0.010665
0.00057052,0.010709
0.00060305,0.010732
0.00060846,0.010801
0.00063031,0.010937
0.00070793,0.011188
0.00083298,0.011627
0.00094152,0.012259
0.00095798,0.012928
0.00085983,0.013397
0.00070285,0.013567
0.00057503,0.013599
0.00051588,0.013758
0.00048068,0.014116
0.00039208,0.014475
0.00023153,0.014629
7.3127e-05,0.014675
1.5882e-05,0.014949
7.8634e-05,0.015622
0.00017002,0.016443
0.00017289,0.016989
6.0419e-05,0.017163
-7.6536e-05,0.017336
-0.0001202,0.017939
-4.1705e-05,0.018941
7.4914e-05,0.019845
0.00011978,0.020204
6.336e-05,0.020085
-2.1312e-05,0.019966
-3.3155e-05,0.020237
6.3486e-05,0.020841
0.00021112,0.021415
0.00031389,0.021687
0.00032109,0.021716
0.00026866,0.021771
0.00024655,0.022076
0.00031973,0.022654
0.00046911,0.023362
0.00060454,0.024009
0.00064214,0.024471
0.00057973,0.024745
0.00049879,0.024925
0.00048799,0.025114
0.00056267,0.025357
0.00065804,0.025665
0.00069867,0.026096
0.0006713,0.026737
0.00062968,0.02757
0.00063406,0.028405
0.00069309,0.029024
0.00076343,0.029421
0.00079599,0.029822
0.00077619,0.0304
0.00072772,0.030976
0.00069202,0.031134
0.00070753,0.030649
0.00079241,0.02976
0.00092735,0.028937
0.001054,0.028391
0.0011085,0.027923
0.0010751,0.027257
0.0010055,0.026436
0.00097362,0.025775
0.0010003,0.025443
0.001028,0.025216
0.00097576,0.024707
0.00082034,0.02379
0.00062321,0.022715
0.00047493,0.021797
0.00041509,0.021073
0.00040292,0.020321
0.00035829,0.019374
0.00023221,0.01835
4.9894e-05,0.017544
-0.00010638,0.017135
-0.00016298,0.017006
-0.00012019,0.01684
-6.1315e-05,0.016394
-8.6142e-05,0.015695
-0.00021844,0.015009
-0.00037607,0.014599
-0.0004441,0.014472
-0.00038817,0.014363
-0.00029373,0.013971
-0.00028417,0.01326
-0.00039756,0.012491
-0.00054933,0.011941
-0.00061881,0.011611
-0.00056786,0.011223
-0.00047167,0.010543
-0.00043833,0.0096409
-0.00050496,0.0088115
-0.00061065,0.0082495
-0.00066195,0.0078514
-0.00062079,0.007353
-0.00053597,0.0066207
-0.00049783,0.0057723
-0.00055903,0.0050337
-0.00068744,0.0045287
-0.000791,0.0042164
-0.0007978,0.0039777
-0.00072373,0.0037147
-0.00066075,0.0033837
-0.00068729,0.0029966
-0.00078519,0.0026173
-0.00085351,0.0023194
-0.00081417,0.0021067
-0.00070042,0.0018803
-0.0006271,0.001529
-0.00066801,0.001063
-0.00077275,0.00062214
-0.00081698,0.00031582
-0.00073388,7.008e-05
-0.00058433,-0.00032339
-0.00049332,-0.00098299
-0.00052586,-0.0017789
-0.00063459,-0.0024242
-0.00072362,-0.0027304
-0.0007494,-0.0027668
-0.00075338,-0.0027819
-0.00080682,-0.0029888
-0.00093649,-0.0034326
-0.0011031,-0.0040297
-0.0012409,-0.0046868
-0.0013132,-0.0053583
-0.0013375,-0.0060161
-0.0013646,-0.0066126
-0.0014329,-0.0070997
-0.0015351,-0.0074761
-0.0016272,-0.0077909
-0.0016717,-0.0080884
-0.0016751,-0.0083603
